type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
abstract	An Initial Investigation into Non-visual Code Structure Overview Through Speech, Non-speech and Spearcons	an initial investigation into nonvisual code structure overview through speech, nonspeech and spearcons	10.1145/3170427.3188696	https://dl.acm.org/doi/10.1145/3170427.3188696	Joe Hutchinson, Oussama Metatla	CHI EA '18: Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems	20 April 2018
research-article	PVDC: A Binary Descriptor Using Pore-Valley Disk Code Structure for High-Resolution Partial Fingerprint Recognition	pvdc a binary descriptor using porevalley disk code structure for highresolution partial fingerprint recognition	10.1109/ICASSP.2018.8461885	https://dl.acm.org/doi/10.1109/ICASSP.2018.8461885	Pei-Yin Chou, Ching-Te Chiu	2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)	15 April 2018
research-article	Code comment generation based on graph neural network enhanced transformer model for code understanding in open-source software ecosystems	code comment generation based on graph neural network enhanced transformer model for code understanding in opensource software ecosystems	10.1007/s10515-022-00341-1	https://dl.acm.org/doi/10.1007/s10515-022-00341-1	Li Kuang, Cong Zhou, Xiaoxian Yang	Automated Software Engineering (KLU-AUSE)	01 November 2022
Article	Relo: helping users manage context during interactive exploratory visualization of large codebases	relo helping users manage context during interactive exploratory visualization of large codebases	10.1145/1117696.1117701	https://dl.acm.org/doi/10.1145/1117696.1117701	Vineet Sinha, David Karger, Rob Miller	eclipse '05: Proceedings of the 2005 OOPSLA workshop on Eclipse technology eXchange	16 October 2005
research-article	Can students reengineer?	can students reengineer	10.1145/1352135.1352170	https://dl.acm.org/doi/10.1145/1352135.1352170	Ronald J. Leach, Legand L. Burge, Harry N. Keeling	SIGCSE '08: Proceedings of the 39th SIGCSE technical symposium on Computer science education	12 March 2008
Article	On the Role of Hypotheses during Opportunistic Understanding While Porting Large Scale Code	on the role of hypotheses during opportunistic understanding while porting large scale code	10.5555/525394.837862	https://dl.acm.org/doi/10.5555/525394.837862	A. von Mayrhauser, A. M. Vans	WPC '96: Proceedings of the 4th International Workshop on Program Comprehension (WPC '96)	29 March 1996
Article	Recognizing Sorting Algorithms with the C4.5 Decision Tree Classifier	recognizing sorting algorithms with the c4.5 decision tree classifier	10.1109/ICPC.2010.11	https://dl.acm.org/doi/10.1109/ICPC.2010.11	Ahmad Taherkhani	ICPC '10: Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension	30 June 2010
Article	Information visualisation utilising 3D computer game engines case study: a source code comprehension tool	information visualisation utilising 3d computer game engines case study a source code comprehension tool	10.1145/1073943.1073954	https://dl.acm.org/doi/10.1145/1073943.1073954	Blazej Kot, Burkhard Wuensche, John Grundy, John Hosking	CHINZ '05: Proceedings of the 6th ACM SIGCHI New Zealand chapter's international conference on Computer-human interaction: making CHI natural	07 July 2005
Article	Expertise in computer programming: Exploring commonalities between code comprehension and generation activities	expertise in computer programming exploring commonalities between code comprehension and generation activities	10.5555/647943.742836	https://dl.acm.org/doi/10.5555/647943.742836	Simon P. Davies	Proceedings of HCI International (the 8th International Conference on Human-Computer Interaction) on Human-Computer Interaction: Ergonomics and User Interfaces-Volume I - Volume I	22 August 1999
research-article	An Exploratory Study of How Developers Seek, Relate, and Collect Relevant Information during Software Maintenance Tasks	an exploratory study of how developers seek, relate, and collect relevant information during software maintenance tasks	10.1109/TSE.2006.116	https://dl.acm.org/doi/10.1109/TSE.2006.116	Andrew J. Ko, Brad A. Myers, Michael J. Coblenz, Htet Htet Aung	IEEE Transactions on Software Engineering (ISOF)	01 December 2006
Article	Debugging by asking questions about program output	debugging by asking questions about program output	10.1145/1134285.1134471	https://dl.acm.org/doi/10.1145/1134285.1134471	Amy J. Ko	ICSE '06: Proceedings of the 28th international conference on Software engineering	28 May 2006
research-article	Understanding large-scale software systems – structure and flows	understanding largescale software systems – structure and flows	10.1007/s10664-021-09938-8	https://dl.acm.org/doi/10.1007/s10664-021-09938-8	Omer Levy, Dror G. Feitelson	Empirical Software Engineering (KLU-EMSE)	01 May 2021
abstract	Teaching Introductory Computer Science for a Diverse Student Body: Girls Who Code Style (Abstract Only)	teaching introductory computer science for a diverse student body girls who code style (abstract only)	10.1145/2676723.2678291	https://dl.acm.org/doi/10.1145/2676723.2678291	Jeff Stern, Emily Reid, Kari Bancroft	SIGCSE '15: Proceedings of the 46th ACM Technical Symposium on Computer Science Education	24 February 2015
Article	PROMPTER: a knowledge based support tool for code understanding	prompter a knowledge based support tool for code understanding	10.5555/319568.319670	https://dl.acm.org/doi/10.5555/319568.319670	Koichi Fukunaga	ICSE '85: Proceedings of the 8th international conference on Software engineering	01 August 1985
research-article	What Drives the Reading Order of Programmers?: An Eye Tracking Study	what drives the reading order of programmers an eye tracking study	10.1145/3387904.3389279	https://dl.acm.org/doi/10.1145/3387904.3389279	Norman Peitek, Janet Siegmund, Sven Apel	ICPC '20: Proceedings of the 28th International Conference on Program Comprehension	13 July 2020
article	Effective size: an example of use from legacy systems	effective size an example of use from legacy systems	10.5555/250754.250759	https://dl.acm.org/doi/10.5555/250754.250759	Ned Chapin, Tony S. Lau	Journal of Software Maintenance: Research and Practice (JSWM)	31 March 1996
short-paper	Drops and Kinks: Modeling the Retention of Flow for Hour of Code Style Tutorials	drops and kinks modeling the retention of flow for hour of code style tutorials	10.1145/2978249.2978260	https://dl.acm.org/doi/10.1145/2978249.2978260	Alexander Repenning, Ashok Basawapatna	WiPSCE '16: Proceedings of the 11th Workshop in Primary and Secondary Computing Education	13 October 2016
research-article	The use of code reading in teaching programming	the use of code reading in teaching programming	10.1145/2526968.2526969	https://dl.acm.org/doi/10.1145/2526968.2526969	Teresa Busjahn, Carsten Schulte	Koli Calling '13: Proceedings of the 13th Koli Calling International Conference on Computing Education Research	14 November 2013
Article	Maintaining a COTS Integrated Solution - Are Traditional Static Analysis Techniques Sufficient for this New Programming Methodology?	maintaining a cots integrated solution are traditional static analysis techniques sufficient for this new programming methodology	10.5555/850947.853295	https://dl.acm.org/doi/10.5555/850947.853295	R. Cherinka, J. Ricci, C. M. Overstreet	ICSM '98: Proceedings of the International Conference on Software Maintenance	16 March 1998
research-article	Code bubbles: a working set-based interface for code understanding and maintenance	code bubbles a working setbased interface for code understanding and maintenance	10.1145/1753326.1753706	https://dl.acm.org/doi/10.1145/1753326.1753706	Andrew Bragdon, Robert Zeleznik, Steven P. Reiss, Suman Karumuri, William Cheung, Joshua Kaplan, Christopher Coleman, Ferdi Adeputra, Joseph J. LaViola	CHI '10: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems	10 April 2010
article	The impact of identifier style on effort and comprehension	the impact of identifier style on effort and comprehension	10.1007/s10664-012-9201-4	https://dl.acm.org/doi/10.1007/s10664-012-9201-4	Dave Binkley, Marcia Davis, Dawn Lawrie, Jonathan I. Maletic, Christopher Morrell, Bonita Sharif	Empirical Software Engineering (KLU-EMSE)	01 April 2013
article	Editorial: Guest editors' introduction	editorial guest editors introduction	10.1016/j.scico.2009.02.008	https://dl.acm.org/doi/10.1016/j.scico.2009.02.008	René Krikhaar, Ralf Lämmel	Science of Computer Programming (SCPR)	01 May 2009
book	Write Great Code: Understanding the Machine	write great code understanding the machine	10.5555/940306	https://dl.acm.org/doi/book/10.5555/940306	Randall Hyde		01 November 2003
research-article	How do Students Experience and Judge Software Comprehension Techniques?	how do students experience and judge software comprehension techniques	10.1145/3387904.3389283	https://dl.acm.org/doi/10.1145/3387904.3389283	Regina Hebig, Truong Ho-Quang, Rodi Jolak, Jan Schröder, Humberto Linero, Magnus Ågren, Salome Honest Maro	ICPC '20: Proceedings of the 28th International Conference on Program Comprehension	13 July 2020
research-article	Automatically detecting and describing high level actions within methods	automatically detecting and describing high level actions within methods	10.1145/1985793.1985808	https://dl.acm.org/doi/10.1145/1985793.1985808	Giriprasad Sridhara, Lori Pollock, K. Vijay-Shanker	ICSE '11: Proceedings of the 33rd International Conference on Software Engineering	21 May 2011
article	Program indentation and comprehensibility	program indentation and comprehensibility	10.1145/182.358437	https://dl.acm.org/doi/10.1145/182.358437	Richard J. Miara, Joyce A. Musselman, Juan A. Navarro, Ben Shneiderman	Communications of the ACM (CACM)	01 November 1983
research-article	A study of comment abstraction, coupling, and placement	a study of comment abstraction, coupling, and placement	10.5555/1647636.1647685	https://dl.acm.org/doi/10.5555/1647636.1647685	Bradley L. Vinz, Letha H. Etzkorn	SEA '07: Proceedings of the 11th IASTED International Conference on Software Engineering and Applications	06 November 2007
article	Programming with small blocks	programming with small blocks	10.1145/1010941.1010950	https://dl.acm.org/doi/10.1145/1010941.1010950	Mark K. Joseph	ACM SIGSOFT Software Engineering Notes (SIGSOFT)	01 October 1984
Article	What is my program doing? program dynamics in programmer's terms	what is my program doing program dynamics in programmers terms	10.1007/978-3-642-29860-8_19	https://dl.acm.org/doi/10.1007/978-3-642-29860-8_19	Steven P. Reiss, Alexander Tarvo	RV'11: Proceedings of the Second international conference on Runtime verification	27 September 2011
Article	Empirical Evaluation of Diagrams of the Run-time Structure for Coding Tasks	empirical evaluation of diagrams of the runtime structure for coding tasks	10.1109/WCRE.2012.46	https://dl.acm.org/doi/10.1109/WCRE.2012.46	Nariman Ammar, Marwan Abi-Antoun	WCRE '12: Proceedings of the 2012 19th Working Conference on Reverse Engineering	15 October 2012
short-paper	Estimation of Software Productivity from Code Reading Pattern	estimation of software productivity from code reading pattern	10.1145/3371158.3371215	https://dl.acm.org/doi/10.1145/3371158.3371215	Sayani Mondal, Partha Pratim Das	CoDS COMAD 2020: Proceedings of the 7th ACM IKDD CoDS and 25th COMAD	05 January 2020
